"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",22,**,0,**,19,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,86.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,121,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",8,**,8,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",7,**,1,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",8,**,0,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,0%,**,87.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,0,**,123,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",14,**,1,**,13,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",134,**,12,**,122,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,9%,**,91%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,32,**,128,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",4,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",65,**,36,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,55.4%,**,46.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,200,**,65,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",22,**,5,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,22.7%,**,77.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,82,**,109,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",15,**,4,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",143,**,10,**,134,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,7%,**,93.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,25,**,132,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",14,**,1,**,13,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",134,**,12,**,122,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,9%,**,91%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,32,**,128,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",4,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",65,**,36,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,55.4%,**,46.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,200,**,65,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",22,**,5,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,22.7%,**,77.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,82,**,109,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",15,**,4,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",143,**,10,**,134,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,7%,**,93.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,25,**,132,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",36,*,8,**,28,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",850,*,306,**,543,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.3%,*,0.4%,**,0.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,36%,**,63.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,130,**,90,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,2,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",118,**,7,**,112,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,5.9%,**,94.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,21,**,133,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",42,**,20,**,22,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,47.6%,**,52.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,172,**,74,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",4,**,3,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",37,**,11,**,26,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,29.7%,**,70.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,107,**,99,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",23,**,11,**,12,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",273,**,212,**,61,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.3%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,77.7%,**,22.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,280,**,31,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",36,*,8,**,28,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",850,*,306,**,543,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.3%,*,0.4%,**,0.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,36%,**,63.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,130,**,90,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,2,**,6,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",118,**,7,**,112,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_FEMALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,5.9%,**,94.9%,**
